Date,Proximity to Station,Station,Item Burnt,Comments,Fire Severity
1/1/2001,I,W 4 St (IND Wash Sq),INSULATOR,"1600 M/S MUSCHITIELLO	(TRO/S): REPORTS THAT HE IS ON THE SCENE TO REPLACE AN INSULATOR AT COL# A1-972+00. 
1620 RTO-B2:M/S MUSCHITIELLO HAS REQUESTED POWER BE REMOVED.. POWER IS REMOVED AS OF 1620 HRS ON A1 TRK S/O 23RD ST TO SPRING ST. REMOVED INSULATOR ",1
1/1/2001,N,59 St-Columbus Cir (IND),DEBRIS,"1658 PDM FLEMING (TRO/N): REPORTS THAT N/O 59TH ST ON A3 TRK, AT COL #1128+30, THERE ARE SIGNAL WIRES SMOLDERING, THESE WIRES ARE GOING TO SW 183A. THE CONDUIT AROUND THESE WIRES ARE BURNT.  EXTINGUISHED FIRE  USING PORTABLE FIRE EXTINGUISHER. NO DAMAGE T",1
1/1/2001,S,Church Av (IND McDonald),DEBRIS,,1
1/1/2001,N,Kingsbridge Rd (IRT Jerome Av),DEBRIS,UISH,1
1/2/2001,S,Kew Gardens-Union Tpke,DEBRIS,"MCQUILLAN (SIG): NO DAMAGE TO SIGNAL EQUIPMENT.
MILLER (3RAIL):  NO DAMAGE TO 3RAIL EQUIPMENT.",1
1/2/2001,I,Prospect Park,DEBRIS,,1
1/3/2001,S,50 St (IRT Broadway),DEBRIS,"16:02 M/S KING REPORT DEBRIS FIRE IN FLANGEWAY ON TK-2-3 COLUMN #209+00 SAME WAS EXTINGUISHED BY EMPLOYEE WITH WATER NO TRACK DAMAGED.
16:14 3RAIL BONILLA REPORT SAME AS ABOVE AND NO 3RAIL DAMAGED.",1
1/3/2001,S,72 St (IRT Broadway),DEBRIS,"KING (TK): NO DAMAGE TO TRACK.
BONILLA (3RAIL): NO DAMGE TO 3RAIL EQUIPMENT.",1
1/3/2001,N,Kew Gardens-Union Tpke,DEBRIS,22:51 ERT TK JORDAN REPORT A DEBRIS TRACK FIRE IN FLANGEWAY ON D-2 TK BY COL# 1622+80 SAME WAS PUT OUT BY TSS EHMER  WITH WATER NO TRACK DAMAGED.,1
1/4/2001,S,Prince St,INSULATOR,MS1 LEUNG : NO DAMAGE TO 3RAIL  /  TK/INSP WHEATON NO DAMAGE TO TRACK SAFE FOR SERVICE.,1
1/5/2001,N,Dekalb Av (Flatbush),DEBRIS,"1829 M/S GONZALEZ (TRK): REPORTS THAT ON A3 TRACK AT COL #280+80, THERE IS EVIDENCE OF DEBRIS OF A SMALL DEBRIS FIRE ON THE EAST RAIL BETWEEN THE FLANGEWAY. FIRE WAS EXTINGUISHED BY CHEMICAL. NO DAMAGE TO TRACK. TRACK IS SAFE FOR SERVICE.
1757 M/S MERCHA",1
1/5/2001,N,Forest Hills-71 Av,DEBRIS,"2235 PDM O""DONNELL (TRO/NO): REPORTS THAT THERE WAS EVIDENCE OF A SML DEBRIS FIRE AT COL# 1577+10 ON D4 TRACK, AT SW 23. NO DAMAGE TO TRACK OR THIRD RAIL EQUIPMENT.
2224 ERT CAPORALE (TRK): EVIDENCE OF FIRE UNFOUNDED.",1
1/5/2001,S,175 St,INSULATOR,"2246 PDM AULT (TRO/NO): REPORTS THAT AT COL #1439+80, ON TRK 3, THERE WAS AN ARCING INSULATOR.
2304 PDM AULT THE INSULATOR WAS CHANGED. NO DAMAGE TO TRACK OR THIRD RAIL. TRACK IS SAFE FOR SERVICE.",1
1/6/2001,I,59 St-Columbus Circle (IRT),DEBRIS,,1
1/6/2001,S,Mosholu Yard,CABLE,CONDITION WAS DUETO MELTING SNOW FROM PARKING LOT (WEATHERE RELATED),1
1/7/2001,N,Dekalb Av (Flatbush),DEBRIS,UPON ARRIVAL BY TKW RATTERREE M/S DIGIOVANNI (TRO/SO) WAS IN THE PROCESS EXTINGUISHING THE FIRE IN THE WIDE AREA CONSISTING OF TRACK MATERIALS. THERE IS NO DAMAGE TO THE TRACK OR 3rd RAIL EQUIPMENT.,1
1/7/2001,S,Wall St (IRT Broadway),DEBRIS,"M/S RAGHUNANAN WAS WELDING THE FROG FOR SWITCH 29B SPARKS IGNITED A PIECE OF PAPER, EXTINGUISHED BY EMPLOYEE, NO DAMAGE ,TRACK SAFE FOR SERVICE.",1
1/7/2001,I,Broadway-Lafayette St,DEBRIS,TK/ERT LOVELL AND PDM WILLIAM REPORTS A HOMELESS PERSON SET PIECE OF HIS CLOTHING ON FIRE AND THREW IT ON THE TRACK FREE SHOE SIDE.  NO DAMAGE TO TRACK OR 3rd RAIL EQUIPMENT.  AREA SAFE FOR SERVICE.,1
1/8/2001,S,Forest Hills-71 Av,DEBRIS,,1
1/8/2001,S,Lexington Av / 53 St (IND),DEBRIS,"17:37 ERT BRYANT REPORTED DEBRIS FIRE N/O SIGNAL #1145 ON D-4 TRACK WAS PUT OUT BT TSS SINGH TRACK IS SAFE FOR SERVICE ,3RAIL VISITED THE AREA AND REPORT THE SAME.",1
1/8/2001,I,7 Av (53 St),INSULATOR,"2130 PHILLIP TRO/N CHANGE INSULATOR ON B3 TK COL 1094+00 EARLYER AT 2047 PWER WAS RE4MOVED AND AT 2116 POWER WAS RESTORED
2207 ERT LOVELL WAS ON THE SEEN AND SAID TRACK WAS SAFE FOR SERVICE",1
1/8/2001,N,66 St-Lincoln Center,INSULATOR,"2220 TRO/N ONEAL CHANGED INSULATOR ON COL#259+65 TRACK B2 TRACK IS SAFE FOR SERVICE  ,ERT SHAW CHECKED AREA SAID TRACK IS SAFE FOR SERVICE.",1
1/8/2001,I,86 St (BMT 4 Av),EQUIPMENT,SMALL EXPLOSION  CAUSED BY WIRE MESH WRAPT AROUND THE CONTACT SHOES.,1
1/9/2001,N,135 St (IND St. Nicholas Av),INSULATOR,WATER FROM CEILING DRIPPING ON INSULATOR CAUSED SHORTING. STATION NOTIFIED TO INVESTIGATE WATER CONDITION.,1
1/9/2001,S,125 St (IRT Lexington Av),INSULATOR,"MS ROSE (TR0/N) ;MAINTAINERS REMOVED INSULATOR
0627 SIG/ MTR CANTINE (SIG): REPORTS AN ARCING INSULATOR ON TRACK 4 AT COLUMN# 229+60. THERE IS WATER DRIPPING FROM THE CEILING ONTO THE INSULATOR.",1
1/9/2001,N,Brooklyn Bridge-City Hall,INSULATOR,"GALENO (3RAIL): WATER FROM OVERHEAD VENT DRIPPING ON INSULATOR CAUSING SHORT. MOW NOTIFIED STATION.
ALONGI (TK): NO DAMAGE TO TRACK EQUIPMENT.",1
1/9/2001,I,36 St (4 Av),DEBRIS,"CORBETT (TK): DEBRIS BEHIND 3RAIL, NO DAMAGE TO TRACK.
SILLA (3RAIL): NO DAMAGE TO 3RAIL EQUIPMENT.",1
1/10/2001,S,Hoyt St-Schermerhorn St,DEBRIS,"SMALL DEBRIS FIRE IN FLANGEWAY, NO TRACK DAMAGE, SAFE FOR SERVICE.",1
1/10/2001,I,Essex St,CABLE,"LIGHTING TAP BOX SUPPLYING HEAT TO THE TOWER WAS LOOSE, REMOVED NO DAMAGE TUNNEL LIGHTING SENT TO RESECURE BOX.",1
1/10/2001,I,High St-Bklyn Br,DEBRIS,"GALENO (3RAIL): PAPER DEBRIS FIRE BEHIND CONTACT RAIL FLASHBOARD. NO DAMAGE TO 3RAIL EQUIPMENT.
CORBETT (TK): NO DAMAGE TO TRACK.",1
1/10/2001,I,High St-Bklyn Br,DEBRIS,"DEBRIS & STEELDUST FIRE EXTINGUISHED BY EMPLOYEE, NO DAMAGE.",1
1/11/2001,S,59 St-Columbus Cir (IND),DEBRIS,,1
1/12/2001,I,Lexington Av / 59 St (BMT),DEBRIS,1700 ERT MANRESA REPORT DEBRIS FIRE BY SIG#38 ON TK-2 SELF EXTINGUISHED NO TRACK DAMAGED .1743 TRO/N KAPS M/S VISITED THE SEEN ON TK-2 AND REPORT SAME ALSO NO 3RAIL DAMAGED.,1
1/13/2001,S,65 St,DEBRIS,"SMAL PAPER DEBRIS FIRE NO TRACK DAMAGE, SAFE FOR SERVICE.  M/S JOSEPH 3rd RAIL CONFIRMS REPORT , NO DAMAGE TO 3rd RAIL EQUIPMENT",1
1/14/2001,N,Broadway-Lafayette St,DEBRIS,"CANISTER BURNT OUT ON TRACK, NO DAMAGE TO TRACK AND ELECTRICAL",1
1/17/2001,I,125 St (IRT Lexington Av),DEBRIS,,1
1/17/2001,S,Norwood Av,INSULATOR,"MTRS. FOUND ROOFING TAR BUCKETS WHICH HAD BEEN THROWN TO THE TRACK. ONE BUCKET WAS WEDGED BETWEEN TIE AND 3RAIL. BURNT INSULATOR REPLACED, NO DAMAGE.",1
1/18/2001,N,W 4 St (IND Wash Sq),DEBRIS,ALUMINUM PIE PLATE UNDER 3RAIL CAUSING FIRE.,1
1/19/2001,S,Central Park N. (IRT 110 St),INSULATOR,WATER LEAKING FROM CEILING FELL ON INSULATOR,1
1/19/2001,I,Times Sq-42 St (IRT Upper Lvl),INSULATOR,,1
1/19/2001,N,59 St-Columbus Cir (IND),INSULATOR,WATER LEAKING FROM CEILING CAUSED INSULATOR TO FAIL.,1
1/21/2001,N,103 St (IRT Lexington Av) ,INSULATOR,,1
1/21/2001,S,8 St-New York University,INSULATOR,WATER DRIPPING FROM OVERHEAD CAUSED SHORTED INSULATOR. INSULATOR REPLACED. STATION COMMAND NOTIFIED TO INVESTIGATE LEAK.,1
1/22/2001,S,Brooklyn Bridge-City Hall,DEBRIS,,1
1/22/2001,I,86 St (BMT W 7 St),INSULATOR,16:33 M/S LOGAN TRO/S REPORT OF A ARCHING INSULATOR ON E2 TK 300FT N/O SIG #765 WHICH WAS CHANGED BY TRO/S POWER WAS REMOVED AT 16:06 HRS AND RESTORED AT 16:16 HRS TRACK IS SAFE FOR SERVICE .ERT MILLER TK REPORT SAME TRACK IS NOW SAFE FOR SERVICE.,1
1/24/2001,S,Briarwood-Van Wyck Blvd,CABLE,CLOGGED VENT BAY DRAINS CAUSED WATER TO DRIP ON 3RD RAIL CABLES. STATION MAINTENANCE CLEARED DRAINS. NEW CABLES WERE INSTALLED.,1
1/24/2001,N,Forest Hills-71 Av,DEBRIS,"DEBRIS FIRE EXTINGUISHED BY EMPLOYEE, NO DAMAGE.",1
1/25/2001,S,Washingtn Hts-168 St(Brdwy),DEBRIS,SMALL DEBRIS FIRE PUT OUT BY TSS NO DAMAGE TO EQUIPMENT.,1
1/25/2001,N,Park Place (Manhattan Brdwy),GREASE,GREASE FIRE IN THE FLANGEWAY NO EQUIPMENT DAMAGE.,2
1/26/2001,S,Botanic Garden,DEBRIS,AT 19:05 3RAIL WEST REPORT BUILD UP OF  LEAVES DEBRIS MAKE CONTACT TO HOT SWITCH HEATER BY SW#305ON TK-2 NO 3RAIL DAMAGED TRACK IS SAFE FOR SERVICE .AT 915 ERT TK M/S A GONZALEZ REPOPRT SAME NO TRACK DAMAGED .,1
1/26/2001,N,Parkside Av,DEBRIS,19:30 M/S CHEN (TRO/S) REPORT A-2 TK NEAR  SW#385B HOT HEATER ROD CAUSING LEAVES DEBRIS TO BURN NO 3RAIL DAMAGED TRACK IS SAFE FOR SERVICE. AT 19:49 ERT TRACK M/S GONZALEZ CHECKED AREA AND REPORT THE SAME.TRACK IS SAFE FOR SERVICE.,1
1/27/2001,N,86 St (BMT 4 Av),LARGE OBJECT DEBRIS,"EVIDENCE OF AN EXPLOSION DUE TO HOMELESS THROWING CHAIR ONTO ROADBED,NO DAMAGE TO THIRD RAIL EQUIPMENT, SAFE FOR SERVICE.",1
1/27/2001,N,W 4 St (IND Wash Sq),DEBRIS,SMALL DEBRIS FIRE UNDER 3 RAIL NO DAMAGE SAFE FOR SERVICE,1
1/27/2001,I,Kingsbridge Rd (IND Grnd Conc),INSULATOR,REPLACED SMOKING INSULATOR.,1
1/29/2001,N,Parsons Blvd,DEBRIS,,1
1/30/2001,I,Broadway Jctn-(Estrn Pkwy BMT),CABLE,INSULATION ON 3RAIL CABLES FAILED CAUSING EXPLOSION. CABLE REPLACED.,2
1/30/2001,I,Hunts Point Av,INSULATOR,,1
1/30/2001,S,Parsons Blvd,INSULATOR,"1835 M/S JOHNSON (TRO/NO): INSULATOR WAS REMOVED AT COL# 1706+35 ON D2 TRACK. AT COL #1708+00, WATER IS COMING IN FROM THE GRATINGS AND AN INSULATOR WAS REMOVED FROM THAT LOCATION.
1833 ERT CAPORALE (TRK): THIRD RAIL REPLACED ONE BURNING FIBER INSULATOR ",1
1/31/2001,S,Court Sq (IND),INSULATOR,BURNING INSULATOR REMOVED AND REPLACED NO TRACK DAMAGE.,1
1/31/2001,S,Chambers St (BMT Centre St),DEBRIS,,1
2/2/2001,S,14 St (IND 6 Av),LIGHTING TAP,EXPLOSION CAUSED  BY FUSE BLOWN ON 3RD RAIL.BATT 6 RESPONDED.NO INJURED REPORTED.BRACKETS NEEDS REPLACEMENT ON 3RD RAIL.,1
2/2/2001,S,Carroll St,DEBRIS,NO DAMAGE TO TRACK OR THIRD RAIL.,1
